bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_mean_ps,bidirectional_stddev_ps, bidirectional_max_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_ack_packets,src2dst_ack_packets,dst2src_ack_packets,label
20,7,3920,26,3,3102,550,1078.332664,2962,1034,1650.70177,2962,5.666666667,9.973297683,25,5,17,16.97056275,25,6,3,3,0
21,7,3900,25,3,3102,557.1428571,1078.198409,2832,1034,1664.896477,2962,5.166666667,4.308905507,10,7,8.5,11.12132034,10,6,3,3,0
22,7,3877,36,3,3102,553.8571429,1078.109523,2962,1034,1669.70177,2962,6.455577,20.20890893,48,6,18,16.97056275,30,6,3,3,0
22,7,3907,33,3,3102,558.1428571,1078.239372,2964,1034,1667.23178,2962,5.666666667,9.72967968,25,8,16.5,12.02081528,25,6,3,3,0
18,7,3890,37,3,3102,554.8571429,1078.129156,2962,1034,1679.954786,2962,7.166666667,13.33291666,34,6,18.5,21.92031022,34,6,3,3,0
29,7,3920,34,3,3104,558.2223,1078.891234,2962,1034,1649.47838,2962,5.88837733,10.48837233,27,4,17,15.2828383,26,6,3,3,0
23,7,3880,27,3,3102,572.9281,1078.198409,2964,1034,1647.574978,2962,5.7776666,8.860282,23,6,15.7,16.83463737,27,6,3,3,0
17,7,3877,25,3,3184,549.1482,1078.987321,2968,1034,1669.474748,2962,5.33333667,12.36371011,34,3,18.3,20.3987373,34,6,3,3,0
28,7,3907,35,3,3170,557.1428571,1073.239372,2962,1034,1658.70177,2962,6.88833667,9.674363,26,7,15.3,16.72682902,25,6,3,3,0
20,7,3884,27,3,3175,553.8571429,1067.743216,2962,1034,1647.497832,2962,5.9995577,14.78796485,33,6,18,15.892828,18,6,3,3,0
23,7,3920,28,3,3102,558.1428571,1078.844993,2980,1034,1669.70177,2962,6.666666667,10.67855448,26,8,15,14.9373022,20,6,3,3,0
29,7,3920,24,3,3102,554.8571429,1078.132111,2962,1034,1672.265482,2962,7.7777667,13.38456754,29,6,15.3,17.4848472,34,6,3,3,0
24,7,3877,32,3,3102,558.2223,1078.9322,2925,1034,1682.939359,2962,7.722237733,14.45687793,22,5,14.8,15.393484,31,6,3,3,0
26,7,3907,36,3,3104,572.9281,1078.231972,2928,1034,1652.294858,2962,5.7776666,13.8567755,25,4,16,20.393933,37,6,3,3,0
26,7,3900,36,3,3104,549.1482,1087.498766,2946,1034,1647.574978,2962,5.6666333,13.5675877,28,7,16.3,16.29292902,26,6,3,3,0
58,10,9239,64,9,7218,1571,2621,3230,3201.665,2940.882,7560,23.2,35.8,62.9,18,34.5,42.4421,51,10,5,5,0
48,10,9260,67,9,7304,1490,2642,3234,3201.665,2937.573,7560,26.3,37.5,65.3,16,33.2,40.3731,48,10,5,5,0
67,10,9240,57,9,7210,1270,2690,3232,3201.665,2983.193,7560,24.1,35.7,60,18,33.5,41.398,58,10,5,5,0
60,10,9371,59,9,7218,1342,2702,3340,3201.665,2969.196,7560,25.8,36.4,62.5,15,30.4,39.9203,56,10,5,5,0
48,10,9239,56,9,7200,1570,2672,3238,3201.665,2970.443,7560,23.3,35.3,64.3,16,32.9,41.9381,45,10,5,5,0
54,10,9260,64,9,7084,1400,2652,3224,3201.665,2957.987,7560,25.6,36.4,63.4,17,33.4,35.2801,47,10,5,5,0
60,10,9250,48,9,7290,1520,2623,3440,3201.665,2991.842,7560,25.4,36.9,65.1,18,34.2,35.2828,43,10,5,5,0
46,10,9371,63,9,7254,1381,2662,3330,3201.665,2927.923,7560,23.4,35.4,58.6,15,31.3,39.3822,53,10,5,5,0
61,10,9239,68,9,7218,1500,2671,3238,3201.665,2960.657,7560,24.1,35.1,64.9,16,34.7,32.3839,51,10,5,5,0
63,10,9260,64,9,7430,1270,2702,3262,3201.665,2953.946,7560,25.9,35.8,64.2,17,35.6,34.2903,50,10,5,5,0
52,10,9240,58,9,7108,1342,2649,3326,3201.665,2945.483,7560,23.4,34.9,62.5,18,34.5,32.3939,67,10,5,5,0
50,10,9371,57,9,7230,1460,2652,3248,3201.665,2968.921,7560,24.7,35.2,63.3,18,34.2,34.2422,64,10,5,5,0
49,10,9260,56,9,7122,1472,2752,3224,3201.665,2953.946,7560,24.6,35,63.7,17,35.5,35.3838,54,10,5,5,0
63,10,9290,65,9,7040,1520,2719,3470,3201.665,2972.523,7560,25.2,37.1,65.1,17,35.6,34.2831,56,10,5,5,0
44,10,9190,67,9,7090,1471,2792,3420,3201.665,2970.721,7560,24.3,35.6,57.4,15,30.1,29.4875,59,10,5,5,0
20,7,3880,60,3,3102,560,1078.332664,2962,1034,1669.70177,2962,5.666666667,9.973297683,25,1,13,16.97056275,25,6,3,3,0
21,7,3920,62,3,2970,575,1078.122346,2845,1034,1650.592617,2962,5.333345543,9.3525221,27,3,14,18.3747602,34,6,3,3,0
20,7,3880,65,3,2995,549,1062.132129,2960,1034,1658.111821,2962,4.88898888,8.2648463,26,2,11,16.383783,31,6,3,3,0
26,7,3877,56,3,3230,560,1073.239372,2798,1034,1660.77593,2962,5.7733333,9.56564732,24,4,7,14.388332,25,6,3,3,0
23,7,3907,58,3,3146,562,1087.612234,2846,1034,1653.22187,2962,4.99938838,8.37474833,25,2,11,15.383838,21,6,3,3,0
22,7,3884,57,3,3108,541,1088.82213,2974,1034,1679.976216,2962,6.2223333,10.48939033,28,4,14,16.9273783,27,6,3,3,0
